supernova name,redshift,magnitude,stretch,color
'06D2ca',0.532765,23.313086,1.277665,0.048672
'06D2cc',0.533766,23.454678,-0.552437,0.081612
'06D2cd',0.932229,24.775178,0.258122,0.023043
'06D2ce',0.822103,24.189188,2.000361,-0.005164
'06D2ck',0.553797,23.411247,0.012383,-0.031799
'06D2fb',0.125298,19.752286,-0.356571,-0.019485
'06D2ga',0.842123,24.283047,1.261243,-0.059406
'06D2gb',0.443668,22.994747,-1.632468,-0.01406
'06D3bz',0.727675,23.946563,-0.794668,-0.106786
'06D3cc',0.683659,24.054688,0.691964,-0.000385
'06D3df',0.442548,22.663818,1.153024,-0.026193
'06D3do',0.726679,23.896775,0.614699,-0.072211
'06D3dt',0.28251,22.151638,0.087556,0.089097
'06D3ed',0.404549,22.602742,-0.385357,-0.069037
'06D3el',0.519611,22.873755,0.770182,-0.141498
'06D3em',0.690652,24.378431,-0.153659,0.177029
'06D3en',1.060801,24.70787,-0.952679,-0.158207
'06D3et',0.576612,23.456685,-1.366428,-0.075657
'06D3fp',0.268489,21.711856,-0.071623,0.048305
'06D3gh',0.72068,23.914145,0.235317,-0.070767
'06D3gn',0.250498,21.864224,-0.526912,0.115106
'06D3gx',0.760691,23.906693,0.551439,-0.12921
'06D4ba',0.698167,23.730103,0.678618,-0.097992
'06D4bo',0.550315,23.219524,0.768518,-0.042555
'06D4bw',0.730128,23.905124,0.681549,0.012517
'06D4ce',0.847985,24.196452,1.752165,-0.109364
'06D4cl',0.997826,24.529085,1.176753,-0.086682
'06D4co',0.435446,22.524456,-0.395993,-0.046795
'06D4cq',0.40947,22.557433,0.430851,-0.037409
'06D4dh',0.30159,21.442454,0.519102,-0.16192
'Aphrodite',1.299106,25.691231,0.664323,0.009896
'Eagle',1.020807,24.965297,0.305488,-0.1038
'Elvis',0.839734,24.362709,-0.08164,-0.019546
'Gabi',1.12085,25.147113,0.620453,-0.075491
'Lancaster',1.230892,26.046776,-0.077374,0.087011
'Ombo',0.97423,24.886143,1.71648,-0.004609
'Patuxent',0.970782,25.020075,-0.10271,-0.218154
'SDSS10028',0.064229,18.347945,-1.201799,0.01006
'SDSS1032',0.12903,20.336945,-2.528617,0.050506
'SDSS10434',0.10289,19.156988,-0.005434,-0.08741
'SDSS10805',0.04413,17.531728,-0.952693,0.056678
'SDSS11067',0.11304,19.114133,1.733698,-0.072351
'SDSS1112',0.25611,21.537919,-0.623265,-0.026817
'SDSS11206',0.38026,22.200281,-1.510288,-0.205532
'SDSS11300',0.14547,20.28342,-1.607355,0.075146
'SDSS1241',0.08889,19.115082,-0.547524,0.048945
'SDSS1253',0.26059,21.218177,-0.959241,-0.118798
'SDSS12779',0.07891,19.149702,-0.561485,0.096243
'SDSS12781',0.08304,19.38627,-1.832076,0.036206
'SDSS12843',0.16565,20.412042,-1.018684,0.037459
'SDSS12853',0.16817,20.17402,-0.580103,-0.061756
'SDSS12855',0.17063,20.781976,-1.918197,0.040563
'SDSS12856',0.17028,20.134725,0.860171,-0.089735
'SDSS12860',0.12044,20.209823,-0.303464,0.140894
'SDSS12869',0.27653,21.365495,0.207633,-0.041301
'SDSS12881',0.2316,21.098958,0.772132,0.03483
'SDSS12883',0.30569,21.588074,-1.955498,-0.057713
'SDSS12898',0.07997,19.019822,-0.069349,0.070049
'SDSS12927',0.17415,20.351422,0.026059,0.014706
'SDSS12928',0.13868,19.897068,-0.55804,-0.064004
'SDSS12930',0.14607,20.061964,1.887311,0.021652
'SDSS12950',0.08133,18.915623,-0.3315,-0.005329
'SDSS12971',0.2338,20.793051,1.184623,-0.091515
'SDSS12972',0.25655,21.306745,0.115968,-0.080959
'SDSS12977',0.24562,21.151867,0.070492,-0.048348
'SDSS13005',0.12593,19.89021,-0.332265,-0.012297
'SDSS13025',0.22351,21.236545,0.742038,0.028844
'SDSS13038',0.10264,19.206141,1.419043,-0.023293
'SDSS13044',0.11967,19.578968,-0.014339,-0.06787
'SDSS13045',0.18055,20.67432,-0.137419,0.052129
'SDSS13070',0.19709,20.348239,0.94902,-0.144736
'SDSS13072',0.22916,21.093432,0.392184,-0.013385
'SDSS13099',0.26451,21.53541,0.347212,-0.021876
'SDSS13135',0.10337,19.373517,-1.412953,-0.056782
'SDSS13136',0.36441,22.299562,0.65981,-0.101528
'SDSS13152',0.2056,20.662469,0.25867,0.007696
'SDSS13254',0.17981,21.151747,0.479896,0.092962
'SDSS13305',0.19959,20.849845,1.115009,0.017693
'SDSS13354',0.15653,20.298025,1.040064,0.087963
'SDSS13411',0.1618,20.328307,1.786215,0.019766
'SDSS13425',0.20953,21.86497,-0.977679,0.259538
'SDSS13506',0.24179,21.801057,-0.200116,0.138533
'SDSS13511',0.23646,21.461512,-1.553624,-0.095193
'SDSS13578',0.22668,21.06808,-0.245891,-0.040327
'SDSS13610',0.29678,21.38185,0.079305,-0.095522
'SDSS13641',0.20852,20.762042,1.026478,-0.031055
'SDSS13655',0.25104,21.936242,-1.339461,0.082437
'SDSS13689',0.25012,20.967243,1.161118,-0.147913
'SDSS1371',0.11771,19.052211,0.789563,-0.101397
'SDSS13727',0.21971,20.855502,1.253108,-0.040277
'SDSS13736',0.14901,19.972155,1.116862,-0.026876
'SDSS13757',0.28742,21.262819,1.098936,-0.166608
'SDSS13796',0.1436,19.837994,0.789492,-0.018978
'SDSS13830',0.32837,21.644732,1.180448,-0.018399
'SDSS13835',0.24625,21.07527,0.624852,-0.078392
'SDSS13894',0.11966,20.319989,0.742978,0.166043
'SDSS13934',0.32838,22.190461,-0.707675,-0.100206
'SDSS14019',0.21513,21.433042,-0.316436,-0.021846
'SDSS14024',0.14478,20.466614,-1.922932,0.03787
'SDSS14108',0.13243,20.147341,0.248082,-0.000855
'SDSS14157',0.21082,20.480731,1.125219,-0.058471
'SDSS14212',0.20399,20.912346,-0.339599,-0.032535
'SDSS14261',0.27952,21.349608,0.694248,-0.030169
'SDSS14279',0.04428,17.546294,-0.162447,0.090515
'SDSS14284',0.18037,20.228837,-0.30878,-0.068514
'SDSS14298',0.2607,21.261083,1.298349,-0.080943
'SDSS14318',0.05654,17.780075,0.864354,0.028353
'SDSS14331',0.2126,21.246133,0.141351,0.014187
'SDSS14397',0.36941,22.210028,-1.192797,-0.220851
